job_title,company,location,job_type,salary,posted_date,description_summary,key_skills,contact_emails,email_apply_required,application_channel,apply_url,source_url,scraped_at,status,applied,flagged
"Welcome, Keerthivasan",Stubbe s Workforce Inc,"44 Muir Line, Harley, ON",Full-time,"$45,000–$55,000 a year",N/A,"Junior IT Support Technician, Tier 1  Location: Harley  OVERVIEW  Stubbe's has a complex network infrastructure, with highly available and redundant server clusters, storage infrastructure, 10 GbE LAN networking, and high-speed wireless links. Our production plants and office rely heavily on our IT infrastructure, and therefore uptime is paramount.  Stubbe’s is based primarily in Harley, Ontario consisting of 3 production plants, a state-of-the-art office, a mechanic shop and branch offices in Aylmer, Centralia, Hickson, Hagersville, Port Weller, Princeton, Smithville and Woodstock. Our newest production plant is heavily automated with robotics. Our IT team services a large employee base across our company, in addition to a variety of 3rd party contractors.  The successful applicant will h","Perform on-site IT hardware and software support to all employees | Create, monitor, escalate, and resolve tickets using a helpdesk ticket system | Assist with managing users and computer accounts (AD, Azure, Office 365, Intune) | Stay informed on new and emerging trends and technologies that provide clear benefits to the organization | Perform other duties as required | Demonstrated ability with installation and configuration of Windows 11 | Strong documentation skills | Experience supporting iOS and Android devices",N/A,no,platform,https://ca.indeed.com/?from=gnav-passport--passport-webapp&advn=5483611911546992&vjk=4ee9dd5d032256e9,https://ca.indeed.com/viewjob?jk=4ee9dd5d032256e9,2026-05-07,saved,,
"Welcome, Keerthivasan",C2 Live,Unknown Location,Full-time,"$45,000–$55,000 a year",Saved to job_data/jobs_2026-05-07.csv (1 today),"Overview:  We are looking for a Full Stack PHP Developer to join our team. In this role, you will develop and maintain back-end APIs and internal analytics/administrative tools to support our mobile apps and internal operations.  What You'll Do:  Develop and maintain back-end APIs to support our mobile apps Develop and maintain internal analytics and administrative tools Performance optimizations and bug fixes  About You:  Proficiency with PHP, PostgreSQL, and Redis Experience with JavaScript, CSS, and HTML5 Experience developing back-end APIs Experience optimizing for speed and scale Experience integrating third-party APIs Detail-oriented and well-organized Strong communication skills Comfortable working under pressure and meeting tight deadlines Self-motivated and able to work in a fully","Develop and maintain back-end APIs to support our mobile apps | Develop and maintain internal analytics and administrative tools | Performance optimizations and bug fixes | Proficiency with PHP, PostgreSQL, and Redis | Experience with JavaScript, CSS, and HTML5 | Experience developing back-end APIs | Experience optimizing for speed and scale | Experience integrating third-party APIs",N/A,no,platform,https://ca.indeed.com/?from=gnav-passport--passport-webapp&vjk=e0359affdf618a1d&advn=2650888727909913,https://ca.indeed.com/viewjob?jk=e0359affdf618a1d,2026-05-07,saved,,
"Welcome, Keerthivasan",Metrolinx,Unknown Location,Full-time,"$45,000–$55,000 a year",Saved to job_data/jobs_2026-05-07.csv (2 today),"Metrolinx is connecting communities across the Greater Golden Horseshoe. Metrolinx operates GO Transit and UP Express, as well as the PRESTO fare payment system. We are also building new and improved rapid transit, including GO Expansion, Light Rail Transit routes, and major expansions to Toronto’s subway system, to get people where they need to go, better, faster and easier. Metrolinx is an agency of the Government of Ontario.  At Metrolinx, equity, diversity and inclusion are essential to living our values of serving with passion, thinking forward and playing as a team.  In-Office Requirement – This role is an in‑office position based at our 20 Bay Street location. Our team is highly collaborative, and much of our work benefits from in‑person co‑creation, relationship‑building, and hands","Supporting the end user customers of GO Transit, in effectively using Information Technology services.",hr.recruitment@metrolinx.com,yes,email,https://ca.indeed.com/?from=gnav-passport--passport-webapp&vjk=1b025f4913c4e952&advn=3026359819066958,https://ca.indeed.com/viewjob?jk=1b025f4913c4e952,2026-05-07,saved,,
"Welcome, Keerthivasan",Helm Operations Software inc,Unknown Location,Full-time,"$45,000–$55,000 a year",N/A,"At Helm Operations, we build the software that keeps the world’s maritime operations moving. From tugboats in Vancouver Harbour to offshore service vessels in the North Sea, our customers run their businesses with Helm CONNECT. And we don’t take that lightly.  We’ve grown from a small start-up on Canada’s west coast into a global leader serving many of the world’s largest maritime companies. Our mission is simple: deliver software that connects the marine industry like no other technology company.  But world-class software doesn’t happen by accident, it takes tough teams, ownership, and deep care for customers. That’s The Helm Way.  Now, we’re looking for a Software Developer who’s ready to bring curiosity, craftsmanship, and courage to our expanding crew.  Your Mission  As a Software Deve",Casual dress | Company events | Dental care | Employee assistance program | Extended health care | Flexible schedule | Life insurance | Paid time off,N/A,no,platform,https://ca.indeed.com/?from=gnav-passport--passport-webapp&vjk=280bfcd7ab3bad52&advn=87067069268146,https://ca.indeed.com/viewjob?jk=280bfcd7ab3bad52,2026-05-07,saved,,
Social Media and Sales Coordinator,Marda Management,Unknown Location,N/A,N/A,N/A,"Job Overview  BPS is hiring a Social Media & Sales Coordinator to help grow our lawn care, pest control,  and wildlife service business.  This is a hands-on role for someone who can create content, manage social media, respond to leads, send quotes, and help turn attention into booked jobs.  You will be filming real jobs, editing reels, posting content, answering customer questions,  following up with leads, and sending quotes using our established price lists.  Responsibilities  Create and manage content for Facebook, Instagram, TikTok, and YouTube Film BPS team members on job sites Edit and post reels, stories, shorts, and customer education content Promote lawn care, pest control, mosquito, spider, tick, and wildlife services Help organize and monitor paid Facebook/Instagram ads Respond","Create and manage content for Facebook, Instagram, TikTok, and YouTube | Film BPS team members on job sites | Edit and post reels, stories, shorts, and customer education content | Promote lawn care, pest control, mosquito, spider, tick, and wildlife services | Help organize and monitor paid Facebook/Instagram ads | Respond to inbound leads from social media, email, website, and phone | Answer basic customer questions | Send quotes using established BPS pricing",N/A,no,platform,https://ca.indeed.com/viewjob?jk=7976961f0953d260&q=youtube+video+editing&l=Remote&tk=1jo0dgrjtgbe5800&from=ja&alid=6591f75a40003a09ac773b0b&g1tAS=true&xpse=SoAl67I3jBHxijxbhh0LbzkdCdPP&xfps=26048675-7dff-4352-b64d-aadcd078e5b5&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jo0dgrjtgbe5800&xkcb=SoCv67M3jATMX0bIwp0JbzkdCdPP,https://ca.indeed.com/viewjob?jk=7976961f0953d260,2026-05-07,saved,,
Full Stack PHP Developer,C2 Live,Unknown Location,N/A,N/A,N/A,"Overview:  We are looking for a Full Stack PHP Developer to join our team. In this role, you will develop and maintain back-end APIs and internal analytics/administrative tools to support our mobile apps and internal operations.  What You'll Do:  Develop and maintain back-end APIs to support our mobile apps Develop and maintain internal analytics and administrative tools Performance optimizations and bug fixes  About You:  Proficiency with PHP, PostgreSQL, and Redis Experience with JavaScript, CSS, and HTML5 Experience developing back-end APIs Experience optimizing for speed and scale Experience integrating third-party APIs Detail-oriented and well-organized Strong communication skills Comfortable working under pressure and meeting tight deadlines Self-motivated and able to work in a fully","Develop and maintain back-end APIs to support our mobile apps | Develop and maintain internal analytics and administrative tools | Performance optimizations and bug fixes | Proficiency with PHP, PostgreSQL, and Redis | Experience with JavaScript, CSS, and HTML5 | Experience developing back-end APIs | Experience optimizing for speed and scale | Experience integrating third-party APIs",N/A,no,platform,https://ca.indeed.com/viewjob?jk=e0359affdf618a1d&tk=1jnudl0ubph97804&from=jobi2a&advn=2650888727909913&adid=461512754&ad=-6NYlbfkN0COVM_C8M-mqeDyZ5KvgmviOHs9f9xKe9vvKRHZNnuTKfI_CBJDTHRLshAVz-qg4n4C_TSjzT95h2wHLWGUNOlcMdjs-SJJYjmY6arCS8e2c8L0AQy3mik3spQHyH63GjkSj2k8peb2DRDWnO5-OG2FJriKfs4RLaDhubUmvBaK-BTmjJw8rwjC6MQ-Uk6T978hnMD5w3OAfSDomq0OLkxRCUyaVk0X_Hlfqj96iqaTn8YKcmhNjC1iR8tBehleQItDiq2VImbBNFPcppFbO1qXmaNHlViXGrgk53aOhhCvr1eWmJvIMtSxXJAN1lZz04ztT5KgT7KrTiArFR-hX5mN7w7HyIq-_n1Yl-F56p0gPD7gxInDd9l8vKFZooBwOaUKLGGcQ6UpJYF0vPKIE84ybgdJ7l9HS2JOILfDMfgMFZJLFqUbsiStDFoeM0UhGnVV1TPNXNuUoe3DgqNlhGK6lAtz4-AbKuRIbdWckrXDkJ2A0_FhtzDOZac708kzJ5r69pT3n4ZWA0wr-tkzIWk1sjR--rfW_IfGT0EnnFWNlN_M8S0BJUyoTRtGCoUm3RLsT4_Qo7fxn_Io7bX5SjPiSsdzjQmZv_iejWfKsDxfwBlcxkEMpR0p&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw9wuTCt8TW-rA%3D%3D&jrtk=5-cmh1-1-1jnudkvtvj7db800-e0359affdf618a1d&xkcb=SoBL6_M3k-Tb_-VfUp0FbzkdCdPP&xpse=SoD56_I3jBYGKuWTSZ0PbzkdCdPP&xfps=8846d97e-e563-4c7a-b590-da2b4d60f9b6,https://ca.indeed.com/viewjob?jk=e0359affdf618a1d,2026-05-07,saved,,
"Full‑Stack C#/.NET Developer (Jr. to Mid, Remote - BC/AB/SK)",Equinox Software Design,Unknown Location,N/A,N/A,N/A,"About Equinox  Equinox Software Design Corporation (www.equinox.ca) is the company behind CROW (Control Room Operations Window), a mission‑critical platform used by over 1,000 electric utilities and independent system operators across North America to safely, efficiently schedule, manage, and report outages and incidents on the grid. Now entering our 33rd year of business, our team values calm, focused work, long‑term relationships, and sustainable careers.  The role  We are hiring a permanent full‑time junior‑ to mid‑level Full‑Stack Application Developer with experience in C#, .NET, Angular, and MS SQL Server to help evolve CROW for the next decade. This is a remote role for residents of British Columbia, Alberta, or Saskatchewan, with core work hours of 9 am - 5 pm Pacific Time.  You wi","Design, develop, and maintain new and existing features in our flagship CROW product across backend and frontend | Collaborate closely with other developers, QA, and product stakeholders in a small, highly communicative team | Partner with QA to reproduce, diagnose, and resolve issues quickly and accurately. | C# and .NET for backend services and business logic | MS SQL Server for data access; we also value experience with Oracle, MySQL, or PostgreSQL | HTML5 and SASS for UI implementation, following detailed visual design guidelines. | Angular and TypeScript for the web front‑end | PrimeNG or similar component libraries",N/A,no,platform,https://ca.indeed.com/viewjob?jk=49a49df2dfc57912&tk=1jnudl0ubph97804&from=jobi2a&advn=1615494338814086&adid=461548473&ad=-6NYlbfkN0AZA_zx4MyG0a7yvEr1OjzUBnmN6xJdESSwQfjieWIUIWS1J9C8NI39cxJRwgB2N2kQvLJIOaQrK5JWhxkAzjuChfPDLU9Vu5T4bwbNGZudtZcIWIVSu28YzAt43XPpUel4LzuldtlIBUPKpIc9HQpwtPlI__7f65zPH9OFGKbPOoH_02MY3PSK_v0Bhn3gi3gxvageDno0wL6Uwil1dLw8659xqaDxClwjurv7kf83v1mBHiulN0KwBYgZcVuNS2EkILnmGB9dYbXJTc07E6MVteivacigERplYpqcnhg0xjfZ2UuEqjbtAcPy-7T1Nvzsd9K09a7QgNowmQAJqfoUQ4a7h6Hewq02x33sDbd3tA6y09IyJ3w9HKD4IwS7sZi4F-FhiddJDyWPNiheCKoMsK2yygmDUSmd_qHznWKufzIMBc0Z3E1z1OtOS1GV_-17iI_ePw1x6XLRvVCecT30l9cSYCNb5ptzdhUtu_bP3N6g4_4_d247Egl9_GvnlTlHmSrapdkfihxXgXvhKsEP7UsAPVL5H_7TYzyVWE-hUU2x3hv7j8DLi8v8DzFqjQAxu1jiEcrc9FWt0FiJ6qR5h6Qyg3f3Xe_CFY2dFGk82Q%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw88WZ8_uPFgdg%3D%3D&jrtk=5-cmh1-1-1jnudkvtvj7db800-49a49df2dfc57912&xkcb=SoAn6_M3k-Tb_-1fUp0HbzkdCdPP&xpse=SoBA6_I3jBYF83wHRx0PbzkdCdPP&xfps=305ff83a-1ec0-45cb-9c56-6b222f10e3e4,https://ca.indeed.com/viewjob?jk=49a49df2dfc57912,2026-05-07,saved,,
Photo Editor,EZ Photo Inc,Unknown Location,N/A,N/A,N/A,"Job Overview We are seeking a talented and detail-oriented Photo Editor to join our creative team. The ideal candidate will be responsible for enhancing, retouching, and managing visual content to ensure high-quality imagery across various platforms. This role offers an exciting opportunity to work with a dynamic team and contribute to the visual storytelling of our brand. The successful applicant will demonstrate proficiency in industry-standard editing software and possess a keen eye for aesthetics and detail.  Duties  Edit and retouch photos to meet project specifications, ensuring consistency and quality across all visual content Manage large volumes of images, organizing files efficiently for easy access and workflow Collaborate with photographers, designers, and content creators to a","Edit and retouch photos to meet project specifications, ensuring consistency and quality across all visual content | Manage large volumes of images, organizing files efficiently for easy access and workflow | Collaborate with photographers, designers, and content creators to achieve desired visual outcomes | Use Adobe Lightroom and Adobe Photoshop for color correction, cropping, masking, and other image adjustments | Edit video footage with Adobe Premiere and Final Cut Pro, adding effects or transitions as needed | Incorporate motion graphics or visual effects utilizing Adobe After Effects to enhance multimedia projects | Maintain an organized archive of images and project files for future reference or revisions | Stay updated on industry trends and best practices in photo editing and digital media production",N/A,no,platform,https://ca.indeed.com/viewjob?jk=fb83ff195ee4e9d0&tk=1jnudl0ubph97804&from=jobi2a&advn=7799976093090110&adid=461403841&ad=-6NYlbfkN0AD9mdBCJNiT0th6hjgnVqvxhXS1PeyXfWHLhNAyx0NW4AMLBopwfj5ScZRX3WgZwX5TIAI7QXtjM4ZWUOWqh47vCXP8X93wv4hxYCP2lU554lkPzUoVuitZhEwNSde0JCp2-VUtGqtLmFvkkv6qOuIuB6aydM-aldHiKy7f2X7ju63OgH5xHIBhKM6HBEIrcNCIIaeQHXQU2CjItUzeIO_r39em8W9Sl5giQhxq3Ai3LTeA7l6liJD4Nlgveo7l3O1jB53Qk2EsDt44Gk7f-BKdVWYKc3hq60K_kBLwpFl8WSwF5oxtt1At9r482NAi0G_LloNR6QGq1FfJESmhSoHWpt3rRn8OBytS4Z_wvCeYzZFof7YayV8-kHaVqU3neo-31F7HMTHwx1C116K0JlG9Je9He1ibtBafZyoOYHe-Ktpml770T72azPg7JyGxQu2SrHti59cPu1fOgjGfnW8A1orHmJ_Z4vXz6cXX2uJxfxRbP61-4GCmVB1eF0VLAOp6UMaSt3qnAM04mQPuyLgQbSje7ErUIsZELENM6kittqncoJDniuPVXMFp487kuqTrfmX70wCimNGq9SKzJmXGwkOwHGGgYJ705H2yOQA6A%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw8FKpkMh7LXRw%3D%3D&jrtk=5-cmh1-1-1jnudkvtvj7db800-fb83ff195ee4e9d0&xkcb=SoBf6_M3k-Tb_5VfUp0XbzkdCdPP&xpse=SoAC6_I3jBYFgkAH8D0PbzkdCdPP&xfps=427a5ae0-1b9a-4d08-8a65-cb8ac1c259d8,https://ca.indeed.com/viewjob?jk=fb83ff195ee4e9d0,2026-05-07,saved,,
DevOps Specialist,Helm Operations Software inc,Unknown Location,N/A,N/A,N/A,"At Helm Operations, we build the software that keeps the world’s maritime operations moving. From tugboats in Vancouver Harbour to offshore service vessels in the North Sea, our customers run their businesses with Helm CONNECT. And we don’t take that lightly.  We’ve grown from a small start-up on Canada’s west coast into a global leader serving many of the world’s largest maritime companies. Our mission is simple: deliver software that connects the marine industry like no other technology company.  But world-class software doesn’t happen by accident, it takes tough teams, ownership, and deep care for customers. That’s The Helm Way.  Now, we’re looking for a highly skilled and detail-oriented DevOps Specialist to join our expanding crew.  Your mission  As a DevOps Specialist, you will repor",Casual dress | Company events | Dental care | Employee assistance program | Extended health care | Flexible schedule | Life insurance | Paid time off,N/A,no,platform,https://ca.indeed.com/viewjob?jk=0c9f59e3274e5f86&tk=1jnudl0ubph97804&from=jobi2a&advn=87067069268146&adid=460369830&ad=-6NYlbfkN0DFS9CiuuFRA_3LEeTpOdaNxaUdYL0A_onnGrb0w2cgNmzk50vhpj_95kKstHKmHm8ky09plASLyyyFRmnWV-kp-BAj9clAphUqjjeoft6cnTZueD_l8JbveA-VIEpmuJiuvlsWqtpKA8o3I5LrshFmCA9l3iFsVf8oIQpKvW83Dbrgo3h6Aw_HguRYM-e5p_whrbROW5aADSxjgIf5-INFq7QbccjtwXoSab0oRticMAE_NAcAWGPSVY1IHeOe7ghDkvt0QNqC6lKeS6f3SqSslQGaXu64_6T__XlfSgrAds2isvYobv1_2461OXqi5Zkvi5SkCV8NPJmW2WeefxlRCWS0OFDE1mF1Qvs51UhapiDLdUMYc2cjX6UZCuUB3NfAJKq_uv6IbSBa0u1km0cRrr4wEOqSAqHal5wUklfbvrIg4VtHM2lyRtVg_ed01IjQbezcHTZ1J1I6aAiJehd5gY-zSkkR81tUXMfwV8sIufSoTHhXj8j0bY3t5hmvjZouu2QV1mEjoDi_smxgKO6ZsfFq9S-XXo9ly1htBftmMrUxRUFPNajOMGLZHYGMHy6jxZscU8DCql2j2kCj-vnrt_TzqkBkMpvToqS48hb9npaVi_i_UUgQ&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw_fzP1aCdg9aw%3D%3D&jrtk=5-cmh1-1-1jnudkvtvj7db800-0c9f59e3274e5f86&xkcb=SoBu6_M3k-Tb_4VfUp0cbzkdCdPP&xpse=SoAj6_I3jBYFUXxbhh0NbzkdCdPP&xfps=201a314d-66c7-4acb-a3fc-e3c5a598bc62,https://ca.indeed.com/viewjob?jk=0c9f59e3274e5f86,2026-05-07,saved,,
Social Media Coordinator,Confidential,Unknown Location,N/A,N/A,N/A,"Part-Time Social Media Coordinator (Nightlife & Corporate Events)  We are seeking a highly creative, detail-oriented, and trend-driven Social Media Coordinator to join our team on a part-time basis. This role is ideal for someone who understands both high-energy nightlife marketing and polished corporate/event branding, and can seamlessly execute content that performs across both spaces.  Key Responsibilities  Manage and schedule content across all social platforms (Instagram, TikTok, etc.) Capture, create, and edit high-quality photo and video content in real-time during events Develop engaging, on-brand captions, stories, and short-form video content Execute content strategies that drive engagement, attendance, and brand growth Monitor DMs, comments, and audience interaction in a timely","Manage and schedule content across all social platforms (Instagram, TikTok, etc.) | Capture, create, and edit high-quality photo and video content in real-time during events | Develop engaging, on-brand captions, stories, and short-form video content | Execute content strategies that drive engagement, attendance, and brand growth | Monitor DMs, comments, and audience interaction in a timely and professional manner | Stay ahead of social media trends, viral formats, and platform updates | Support marketing campaigns for both nightlife events and corporate functions | Maintain a consistent brand voice across all platforms (luxury, high-energy, and professional)",hr@torontoeventcentre.com,yes,email,https://ca.indeed.com/viewjob?jk=5021674d9c8ead12&tk=1jnudl0ubph97804&from=jobi2a&advn=1625992800043106&adid=460400988&ad=-6NYlbfkN0BTR4pD0UEsM8MFMnXrKi8oafyKJAM8HRaWx2epIjgUwZ3OkNBjuZIpL_rCpS6_fdltBS3pnDmyupDZ1WEbJ-Z5XODN9M4hHSoo7VRCNBuONQyfUSjYPCti3Tw6kUImr0LJWDuDC58eX_ldqoJ54Vm65gHqim-bWTIGnTbp0rAyopH_yegcwtfDZs2ElugxOTBqcElAmACAO9L-1YqOe48DU2RrWEek3g8mQ21e7Tqll0uS5xwbdL3oL5oT3W8AahVi3yfazF3gazOkNiCUR7PYddIg1tfs-vU3qinn_st-K0-tUibA52LndR6yA-Gzg4bYU2s2RAnoqZkMMB_ZSuDiZK8-4xrMOqyJxgIt_bKN-FUzjKfgFerc_Y9oApuoxPHdjY0nsazQvD4YYToT2XiDzxA0NzjjDBB9cKgpajVjTkHtLNoRzTZw3FMW4tx7OiE26h2mZwu5mZPPa39zELvkmG9k31mGq7MRGZbEdI9WWeQWqvfgZb1VmCytHDQBZ_9qEPVLDDtHmDwX-gyOJlwRclHdny5DsZv5MLF5btteKdu3Adz9tBhDR1I8C4NrqxPRkRwXDMQrYvu_-sQad4r_EBSuvoL2wMr_HcN5ba5GSw%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw-MyFoUKHzw_g%3D%3D&jrtk=5-cmh1-1-1jnudkvtvj7db800-5021674d9c8ead12&xkcb=SoBn6_M3k-Tb_-1fUp0QbzkdCdPP&xpse=SoCL6_I3jBYFZpWTXJ0PbzkdCdPP&xfps=0b9b0194-827b-426e-9fe8-62affcf25347,https://ca.indeed.com/viewjob?jk=5021674d9c8ead12,2026-05-07,saved,,
