job_title,company,location,job_type,salary,posted_date,description_summary,key_skills,contact_emails,email_apply_required,application_channel,apply_url,source_url,scraped_at,status
IT Technician,Rallye,"Moncton, NB E1C 0K4",N/A,N/A,N/A,"As an IT technician, you will work closely with the rest of our team to ensure that our company is using the most up-to-date technology to run our business. We are seeking an IT technician who will be responsible for ensuring that the hardware and software used by our company is compatible, secure, and scalable. You will also be responsible for maintaining our internal network, phone system and providing support for our staff.  We offer various benefits such as:  Competitive Wages Training and Advancement Opportunities Health, Dental and Life Insurance Employee RRSP Program with Company Contribution Employee Referral Bonus Program Company and Corporate Partner Discounts  Responsibilities  Work with the department manager to plan and oversee the installation and maintenance of computer syst","Competitive Wages | Training and Advancement Opportunities | Health, Dental and Life Insurance | Employee RRSP Program with Company Contribution | Employee Referral Bonus Program | Company and Corporate Partner Discounts | Provide systems, network and Internet support users in response to identified issues | Help with the redesign of applications and other software as needed",N/A,no,platform,https://ca.indeed.com/viewjob?jk=9a5e9b4f93646346&tk=1jnh98j2kiot9801&from=jobi2a&advn=220098199392273&adid=461192523&ad=-6NYlbfkN0AJgflC09SloQAHtlKg83AVfxLbsWhq0CladYe8Au-8bUyCU_tCcKKnWdTD9UQDrZZ8o721IYzjqBXSrl6fh_bDDJvMwQOQw_YrU26BZhJVf05T0xPQdBnUgeIAS4PXRsSpW66H8l7KQTGByi7FGm3V5OUQfSuS3VOwK7YIiPLCkEjVSxjCA54ebZJittKsDhUjA89CPjJDZTz9APFwqyQo8j-vybQtXQOkD8TDdLA-_TOr9OWu04-AiydNOWpxeU7FIr2j0Praew4AauSXk67lNZl-N9ned8TmK8xD5rkyu3FKYqGueTf9vIh3pg74lyq_grZW_NHomk13JgjxSdx4EeHXitkoTpvGqD5xLdbhgTbE-zZvMeC_7MsFhQ3c0PmSOb_zozLsf14YwJlLdMhQ4b_wZvpk3dDVvciOIHEQ9z71B9u-PYacLH4G5dAp7_jFhfZ2wZjDrY9i-x0KAeTDeoz1lvpEuObckGPw9g3nFhNEAhDP7OhlZIp4wsL47QcQ-UTKj-m9Q-ZdBUPju3TODywl3rGKV4kn73sCB18QT4GLJ23o8G1yXsLjHsRKtL29Rg9fsS4Zm86j70jYEkvWJKuMHLuNUHyWV0oGA129ew%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=C3EPSzFlQw-tJsznYX_7Hw%3D%3D&jrtk=5-cmh1-1-1jnh98i23l4ua800-9a5e9b4f93646346&xkcb=SoDr6_M3kxats3WuKJ0DbzkdCdPP&xpse=SoDi6_I3kxsF192Tax0PbzkdCdPP&xfps=c3a1d151-d312-4603-9002-099e6c5a24a8,https://ca.indeed.com/viewjob?jk=9a5e9b4f93646346,2026-05-01,saved
Web/App Developer,Staff Plus,Unknown Location,N/A,N/A,N/A,"We’re excited to be hiring for a great permanent opportunity with our client in the Halton Region!  In this role, the successful candidate will be responsible for designing, developing, and maintaining cloud-based web applications and mobile apps (iOS and Android) that integrate with specialized hardware systems. This is an exciting chance to work on impactful, real-world technology in a dynamic and forward-thinking environment.  We're looking for a hands-on developer who is innovative, detail-oriented, and highly collaborative, with the technical expertise to transform complex requirements into intuitive, high-performance digital solutions.  Responsibilities  Develop and maintain responsive, cloud-based web applications and mobile apps for iOS and Android. Collaborate with designers, prod","Develop and maintain responsive, cloud-based web applications and mobile apps for iOS and Android. | Design, enhance, test, and maintain scalable cloud applications and supporting workflows. | Diagnose and resolve issues in cloud infrastructure and services to ensure reliability and uptime. | Ensure cross-platform optimization and mobile responsiveness. | Optimize applications for performance, security, and scalability. | Implement and maintain CI/CD pipelines and version control processes. | Stay current with emerging technologies, frameworks, and best practices. | Work in an Agile development environment with regular sprint cycles.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=869f6754fc92cb1c&q=web+designer&l=North+York%2C+ON&tk=1jn7ugm7ug9sp800&from=ja&advn=7714126550772278&adid=441435631&ad=-6NYlbfkN0DBGkDW-uJ-41pFcojqzybWXBpTW_X5H4WqIqfzZN1A-yVnviEzIP4drJOMCix5pSXAJRZKTuanP5sIBUpzzgrOoo_ITRrZ9_FKUn1S_ZdqLiTe2aYbN5e90aL1hJTHoGhp-DyOizDkI4mKnXEnlHNh7XNwdm5U70PoNkw0sIqoKTxVLY5FVbzCxK-6wC2EdQtuBaRQhYAcHBtPwW7s7T6K0BFXjyAVmk_XDVitLawk-JodtFCdHNCZvQJS1tC3TzetWIjdPHR-OF-AXq5XVOGSahk-B3B3NXQ7WqzlearSew6AT7IjOZuze3M5DcrxapjzX72P79tUrt3oRu__GLKu5hRVilP1r6_OSi0T_2MHkCG6MjkG2_d7CeZ7n4SaVI1dYnQcYH9Vy0qurHZN5pBecmxzNnvB55sovGJu6KIC4LFLEF1ajdOX3V4vQwnsjNTLDkZTwA6dl32eTP0WcGehW09UmrfAbppLgzznF-eOgZsSxEUg1vPv5KVFHBJgIyEnMGqfBUi4K5vSCWAkZ-tYsaR8E1iSvXABQCFtc_skIdAaB3q5kJYjUnStrVuhGNw%3D&alid=682c8e73b121ee5d01cdb8b4&pub=4a1b367933fd867b19b072952f68dceb&camk=ethIe0s0hedczXS5HSNspQ%3D%3D&xkcb=SoA76_M3kn1NB-Az3r0cbzkdCdPP&xpse=SoCV6_I3kxtiB0XzUJ0NbzkdCdPP&xfps=d37c8aff-f1d8-4411-a226-507599f926cb&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,https://ca.indeed.com/viewjob?jk=869f6754fc92cb1c,2026-05-01,saved
Front-End Software Developer,Purolator Inc,"2727 Meadowpine Boulevard, Mississauga, ON",N/A,N/A,N/A,"It’s not a package. It’s a promise®.   As Canada’s leading integrated freight, package, and logistics provider, we’ve been helping promises get where they need to be for more than 60 years. How does the magic happen? The journey starts with you. The places we go, the elements we brave, the promises we deliver – it’s all possible because of our people. So, whether you’re looking to build new skills, make an impact in your community, or inspire your team, we go there for you.     Description   Purolator Digital Lab (PDL) is a division of Purolator Inc. that is dedicated to the rapid development of engineered technologies. Our goal is to deliver tech that enables Purolator to be the premier freight, parcel, and logistics provider in Canada. PDL is a well-funded startup within Purolator, a pro","Owning front-end architecture, component design, and UI execution across multiple concurrent projects | Collaborating with Purolator's design team and making independent design decisions when needed | Integrating front-end work with APIs and back-end services | Delivering PoCs and MVPs quickly without leaving a mess behind | Participating in code reviews, sprint planning, and contributing to team standards | Writing documentation as part of shipping | JavaScript / TypeScript, React, HTML/CSS | Vue or Angular (asset)",talentcoe@purolator.com,yes,email,https://ca.indeed.com/viewjob?jk=c30b036796c39f84&q=web+designer&l=North+York%2C+ON&tk=1jn7ugm7ug9sp800&from=ja&alid=682c8e73b121ee5d01cdb8b4&g1tAS=true&xpse=SoCw67I3kxthDogWgT0LbzkdCdPP&xfps=8f00923e-2823-409d-ab93-4b2573f67b60&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn7ugm7ug9sp800&xkcb=SoAn67M3kn1NBsQAWJ0NbzkdCdPP,https://ca.indeed.com/viewjob?jk=c30b036796c39f84,2026-05-01,saved
Social Media Specialist,FSH Design,"150 King Street West, Toronto, ON",N/A,N/A,N/A,"Position Description  This is a great opportunity to join the growing FSH Design Consulting Team. FSH Design is a multi-faceted Management and Design Company with its roots from 1997 but was re branded and consolidated under the brand that it is today in the year 2007.  With a wide array of disciplines, our core focus within the Canadian arm includes Management Consultancy, Branding, Website Design, Digital marketing, Custom IT Solutions, Architecture and Interior Design.  Our portfolio of many Canadian Clients and projects have not been disclosed on our website respecting Client Privacy. (Website www.fshdesign.org)  The Social Media Specialist will be responsible for building social & digital strategies, and campaigns across paid social, display, video and paid search campaigns. The Socia",Dental care | Extended health care | Vision care | Social Media Marketing: 4 years (preferred),N/A,no,platform,https://ca.indeed.com/viewjob?jk=c8816a6fb58d0d2c&q=web+designer&l=North+York%2C+ON&tk=1jn7ugm7ug9sp800&from=ja&advn=919145149722161&adid=461060187&ad=-6NYlbfkN0DxnYGidaiaHYCFplTPOr5tpv8cFZYAV3sv88xueOYyWQH1YnMMfEDKwEL0RIuUZafKWmmuHfimU7bUqiUzMEyCeKvGDZcJgapMrhHQeGEmL7o_nl8Fm1d6j4YTsCO_DUlxNYG8UD3scE55VjtIkvLFWuYzJbOY0VZ5n1BXmSQnp4TY7lpTsCzsmrxsR-B_zsmX0B8rCRlK3fNle-V6wFE-gmZrNg8GeQ34b07TaHRAUUYZwJXjUDQ5MOc3VT24BTl7USI7cjwPTJN0NDfZmp5qqbMmJLxe2SbC3ISquoDmhmPTJdlnVdvOkCP4ob9tTiapM35qVOce6_OCASAC_TXTXnaNhUCClOmOLoUNAPibkaxD5Y7oM-WhW26VBxMfJC5Yw7tO7ZjECnJPu2p2bHJ1HtYn3q-GVMtIsjU0txmH8V8xOCz_OeiW9WBdcbXLVkgXE_bHn-mwpI-9uqELbjmVIXr0EJrnDWi6b9Uwat2llRnODsuHuL1CzRiThSnh6saZwdjfK8e6k9tvDO1Iw8mqJFs3x4Uw-ZVqhSFxusI-_x9m6_QyeCJEaBhy_riU-R0fPBeBO-EHIg%3D%3D&alid=682c8e73b121ee5d01cdb8b4&pub=4a1b367933fd867b19b072952f68dceb&camk=C3EPSzFlQw8bJbHda_cauw%3D%3D&xkcb=SoAG6_M3kn1NB5Az3r0MbzkdCdPP&xpse=SoBN6_I3kxtgiogWgT0PbzkdCdPP&xfps=64afa769-fbc4-4c50-ad83-441cc8c3b7ca&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails,https://ca.indeed.com/viewjob?jk=c8816a6fb58d0d2c,2026-05-01,saved
React JS Developer,Atlantis IT group,Unknown Location,N/A,N/A,N/A,"ROLE : REACT JS DEVELOPER LOCATION : TORONTO,ON JOB DESCRIPTION : 1. Develop, optimize, and maintain React-based web applications with a focus on performance and scalability. 2. Build and manage state management solutions using Redux, Context API, or other state management libraries. 3. Write clean, modular, and reusable JavaScript (ES6+) code following best practices. 4. Implement responsive and mobile-first designs using CSS3, SASS/SCSS, and HTML5. 5. Work closely with designers and back-end developers to integrate APIs and UI components. 6. Optimize web applications for performance, SEO, and cross-browser compatibility. 7. Debug and troubleshoot React-related issues and UI/UX inconsistencies. 8. Stay up-to-date with the latest front-end technologies, trends, and best practices. 9. Write",,N/A,no,platform,https://ca.indeed.com/viewjob?jk=3ba5701205f290de&q=web+designer&l=North+York%2C+ON&tk=1jn7ugm7ug9sp800&from=ja&alid=682c8e73b121ee5d01cdb8b4&g1tAS=true&xpse=SoAB67I3kxtgPwwEM50LbzkdCdPP&xfps=5808d7af-5e22-4b16-9992-a09b3b178ed3&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn7ugm7ug9sp800&xkcb=SoBY67M3kn1NBswAWJ0LbzkdCdPP,https://ca.indeed.com/viewjob?jk=3ba5701205f290de,2026-05-01,saved
Full Stack Developer - Front end UI (Vue.JS and Angular.. Design thinking and Azure),Recutify Inc.,Unknown Location,N/A,N/A,N/A,"Role: Full Stack Developer - Front end UI (Vue.JS and Angular.. Design thinking and Azure)    Location: Canada (Remote)   Hire Type: Fulltime   Need 10+Years Profile   Job Description:   We are seeking a highly skilled Full Stack Developer with a strong emphasis on front end development and UI design. The ideal candidate will possess extensive experience in Vue.js and Angular, along with a solid understanding of .NET and Azure technologies. This role requires a creative thinker with a passion for design and user experience, capable of delivering high quality software solutions.   Responsibilities:  Develop and maintain web applications using Vue.js and Angular frameworks.  Collaborate with UX/UI designers to create intuitive and engaging user interfaces.  Implement responsive design princi",Develop and maintain web applications using Vue.js and Angular frameworks. | Collaborate with UX/UI designers to create intuitive and engaging user interfaces. | Implement responsive design principles to ensure applications are accessible on various devices. | Work with back end developers to integrate APIs and other services. | Participate in code reviews and contribute to team knowledge sharing. | Utilize .NET and Azure for back end development and cloud services. | Adopt design thinking methodologies to enhance user experience and application functionality. | Stay updated with emerging technologies and industry trends to continuously improve development practices.,N/A,no,platform,https://ca.indeed.com/viewjob?jk=a7122c9410fa8f99&q=web+designer&l=North+York%2C+ON&tk=1jn7ugm7ug9sp800&from=ja&alid=682c8e73b121ee5d01cdb8b4&g1tAS=true&xpse=SoCE67I3kxt_K_AWgT0LbzkdCdPP&xfps=43ebb6c5-4cc4-4043-80f2-9f7b91c9da31&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn7ugm7ug9sp800&xkcb=SoBi67M3kn1NBswAWJ0NbzkdCdPP,https://ca.indeed.com/viewjob?jk=a7122c9410fa8f99,2026-05-01,saved
Technical Analyst – Client Support & Infrastructure,SIS Consulting,"349 Carlaw Avenue, Toronto, ON",N/A,N/A,N/A,"About the Role  We are looking for a Technical Support Analyst to join our growing Managed Services team. This role is ideal for someone early in their IT career who enjoys hands-on troubleshooting, working directly with clients, and learning across a wide range of technologies.  You will support small and medium-sized business clients by providing remote and on-site technical support, assisting with system setups, and helping keep client environments running smoothly. While training and mentorship are provided, success in this role requires strong problem-solving skills and the ability to learn independently.  What You’ll Do  Act as a primary point of contact for client IT support requests Provide Level 1 remote technical support via phone, email, and remote access tools Perform Level 2 o","Act as a primary point of contact for client IT support requests | Provide Level 1 remote technical support via phone, email, and remote access tools | Perform Level 2 on-site support when required (hardware installs, troubleshooting, deployments) | Configure and deploy new workstations, laptops, and peripherals | Use Remote Monitoring & Management (RMM) tools to proactively monitor and maintain client systems | Accurately document all work and client interactions using a ticketing system | Research, troubleshoot, and resolve a variety of technical issues | Create and update internal knowledge base documentation to assist the team",N/A,no,platform,https://ca.indeed.com/viewjob?jk=48261da1c32ce4f0&tk=1jn6pkv9hk7m3801&from=jobi2a&advn=4860692855040296&adid=315344504&ad=-6NYlbfkN0Blg1ShL_aFxBBIllnATeta2CBOvDKsgBszRXjqSvBhSQ-cmGfgvYuMElo8Cz0PGUri1aqWAEUi5OIDZwTmiuUFU-0YJZfAs02CN-5fFjdnPDhttabUTZuiE6i62mFt5U8ixcYg35pJdRpItSwPxdwODyJJSznXVBNS7JaoRg7xv36B6Ckk8LkoFcULHMjEod2jl1UB2j_xntIRf8ofhJVWqWKo4MQog9DPz-60UPtTT6Ylm47knTqXjYxSsX6-luJIjOSD_T9BqPnmLg8Y4K3EdEBLUnS3JqZKqZXUULkB1Qai0yl4v1P8HAH-vvaAoUnyKEvLQA_P297WCnXsFM5J6gtUJJMzmWP2Sv3h__8xmaeRu95X5FBHv77Mo4myaGTFUbC48UqW8pPb_0GDtV7E2Y6okA1a0QzfbCOvoEapmyulmjYQg-KB_vejOuqppQEnWIfUeERmmK-592udd7Eo1NQZKQtwMGBd0bafhjXbA1CXEfcLjq6I7CwDwl-1sARa3D-GScTn_hB3AsX6LqftNpLQGpjkopbsqSYGiAztNdIqbu2tAgbNF_0hE9v1Xrcwu0hzgjSg41OGEgh1mkbWvA2nYDQ05sETfhXLXZWy5BKeuQ7OxxsZ&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=Epn971H63pB5NpW_yjmq1g%3D%3D&jrtk=5-cmh1-1-1jn6pkt0kkm1r800-48261da1c32ce4f0&xkcb=SoAC6_M3km7cKgW5iR0MbzkdCdPP&xpse=SoBI6_I3kxt4p5Acd70NbzkdCdPP&xfps=0a2f813e-947e-45cc-ad96-684768850b1d,https://ca.indeed.com/viewjob?jk=48261da1c32ce4f0,2026-05-01,saved
Junior Graphic Designer,Optimum HR Solutions,"Uxbridge, ON",N/A,N/A,N/A,"Employment Type: Full-Time, Permanent  Hours: Monday-Friday 8:00am – 5:00pm  Location: Head Office, Uxbridge  About Us:  In 1983, Choko Motorsports was established and began manufacturing snowmobile clothing. The demand for quality Choko product quickly grew and today, we are designing, manufacturing, and distributing apparel and accessories for the automotive industries and farming. We are proud of our roots and to be privately Canadian owned and operated.  What we’re looking for:  We are seeking a motivated and detail-oriented Junior Graphic Designer to join our Art Department. This is an excellent opportunity for someone early in their career who is eager to learn, grow, and develop within a fast-paced, creative environment. The ideal candidate will have a strong foundational skillset,","Company events | On-site parking | Store discount | Uxbridge, ON: reliably commute or plan to relocate before starting work (required) | Are you able to supply a portfolio of your design work if selected for an interview? | Do you have experience working on Mac-based systems? | Do you have experience creating print materials such as flyers, brochures, and marketing collateral? | Adobe InDesign: 2 years (preferred)",N/A,no,platform,https://ca.indeed.com/viewjob?jk=8a42ce594ee831a0&tk=1jn6pkv9hk7m3801&from=jobi2a&advn=9186999653345720&adid=387908003&ad=-6NYlbfkN0BLla8-JTPcoCwZikImApvrmbweprZKaynZF1aLu570Seaw74x7fhw4llGOPBhspVZLMETKxYJ0rpdc8L2krakihBB_6EICaXoFauuSne1g2_AKDj6fAUmurIpe_pe4lcavGqMxZApyKsOtJf5k6oXlfW6sh07oArselxsd3fQEEyIP79eXuZtGIA3L5JE3kpNjnvwU32mG-PXDr2jo7yCHp_HOcnfc-CeTj9bM_bJ615CV6l44nIzy1SaBpPk8nuY9fhYSGd9n2ze_3arMmk1MPurqfE9feszH9d3yWppuzgeH4RebSOGEsJCVlYJmyYQkPngeuKNphCJ83b5u1IWs5VIu5epXnf_8kP2Zq_nZ97Cbjt3zOVwvYUfS1cp8VD2xhqmMV_2RqZqbiyARfBvu3GO5IuwJk2qkmVankLlf4eSn94bISiD1bYJMlgQNYhtRQSVbAs85Z29HFEFajBBfAI1pfF6k5PNs_19wN_eYb61W0MtraTLdCRHy_miIUsQ8YQMeJ9vb_CFavoePBfNkcyITyIeM02Z2IVxikSZkL4rFSbI2K8sTdHBHiPhsCkZQhp9NIwskOau3FrxVcT02q8neekn0wX3_a-e2rF4QpA%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=xqnMBGaf-K-cLdRLoe4RdQ%3D%3D&jrtk=5-cmh1-1-1jn6pkt0kkm1r800-8a42ce594ee831a0&xkcb=SoBu6_M3km7cKg25iR0ObzkdCdPP&xpse=SoAt6_I3kxt3m6g8GL0PbzkdCdPP&xfps=2fd2065c-0880-4d06-aa7d-c1fbda2b9cc4,https://ca.indeed.com/viewjob?jk=8a42ce594ee831a0,2026-05-01,saved
Full Stack Engineer,Chexy,"2 Berkeley St Ste 301, Toronto, ON M5A 4J6",N/A,N/A,N/A,"2 Berkeley Street Suite 301, Toronto, Ontario, Canada, M5A 4J6 full-time . December 4, 2025  Description  Full Stack Engineer     At Chexy, we're reimagining how Canadians manage their largest expenses—like rent, tuition, and insurance—by transforming them into opportunities to build credit, earn rewards, and gain financial flexibility.     We're the first platform in Canada that lets users pay nearly any bill using their credit card, while unlocking meaningful benefits like cashback, points, and credit-building tools. With $1B+ in annual payment volume and millions of transactions per month, we're building financial infrastructure that needs to be fast, reliable, and bulletproof.    About the Role     We're looking for a Full Stack Engineer to build features on Chexy Core (our web applica","Build features end-to-end on our Next.js web app (Chexy Core) | Design and implement REST APIs and integrate them into frontend applications | Build user-facing features in Next.js and React with Tailwind CSS for styling | Work with PostgreSQL (backend) and Firestore (web app) for data modeling and queries | Write clean, well-tested code across both TypeScript backend and frontend codebases | Design responsive, accessible web interfaces that work across desktop and mobile browsers | Participate in code reviews for both backend and frontend contributions | Debug and resolve issues across the full stack in development and production",N/A,no,platform,https://ca.indeed.com/viewjob?jk=557b13040ff02166&q=web+designer&l=North+York%2C+ON&tk=1jn59gel5g9sp800&from=ja&alid=682c8e73b121ee5d01cdb8b4&g1tAS=true&xpse=SoBj67I3kxtxRnR7oJ0LbzkdCdPP&xfps=73b08c04-416c-4858-9a8b-d59a0b5b3d4a&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jn59gel5g9sp800&xkcb=SoCR67M3klbOIRawSx0NbzkdCdPP,https://ca.indeed.com/viewjob?jk=557b13040ff02166,2026-05-01,saved
IT Helpdesk Technician,Burnout Brands,Unknown Location,N/A,N/A,N/A,"BD Diesel Performance is hiring!  At BD Diesel Performance we're constantly striving not to be simply the best, but to be better.  That road never ends, and engenders a culture that isn't satisfied with status quo, but of constant improvement. It means supporting employees with competitive wages, health benefits, and the tools they need. It also means colleagues respecting, and supporting one another. It means better processes and better communication. Ultimately it means a better work environment and product.   We offer RRSP matching as well as quarterly incentive plans for all our employees.   The IT Helpdesk Technician is the first point of contact for employees needing technical support and is responsible for maintaining reliable day-to-day IT operations. This role troubleshoots hardwa","We offer RRSP matching as well as quarterly incentive plans for all our employees. | Provide first-level technical support to employees via phone, email, or in person. | Troubleshoot hardware, software, and network issues. | Diagnose and resolve technical problems promptly and effectively. | Escalate complex issues to higher-level support when necessary. | Install, configure, and maintain computer hardware and peripherals. | Install, upgrade, and troubleshoot software applications. | Perform routine system updates and maintenance tasks.",N/A,no,platform,https://ca.indeed.com/viewjob?jk=16828c615693c075&tk=1jn479calg4ue801&from=jobi2a&advn=2523467707848096&adid=443825339&ad=-6NYlbfkN0DGaDUGmwEhnr8KfD7xIKgEFghzbpQwC8ogqDm__jqdRvGV89xWvyw-bJNSRv-8K9if-Pz8IKR3mFJnboMhmZZEUqKgCoUzGYuoFRUZ8LayeteGQQ2CDuJtUFGdGEHYcHQRXVEZoQbF6-dFXCU-2n8lPrwRyYqpQvXhVEbISwcQm0La7vzauB2yce_SnJylD_6Z9vkb_JZG1KExyzvjhYq19aHkBeHb5wOf7sJQXeGT6cbtZLLR7shQ78ZJdxgg4g9uZ7EOZRI_VTpI4sNUI5xapEAtXQjMk5pHn0eRkqW5LMunXGx-xnClWOwsNs4jSwrdNEfPp9uSoB-i7Wz-6d-4xov9uFuZK8LyJY_o5Q05oJOSaSP6a0ExNNUe4IJJ9i0ldUZwU0Apeebhl1Cn0CHyAfCfiC084yiXT5eLs8n8z0kXeHSC6zCWDYtCcSNG68T3p2IvC5crsd-6aIdIQ7I3TTuRdYtv9chIMk8dcixXYXDdMmrZRGKiT6SfRWSKknSmvNgo4EtJMyJqSK_yU_gULHtl9gxihzec6exympHPK_sWNdiY-ExOSw2HpjKZa4azK0PpmpH7TX9to-b9ZhvW_PwKXMlNg0TVdHDP0WLKN0junNFse7ab&sjdu=L8y54uRCiXp8qRNAlALZuDA2tgVNJMGuttiX-36gaKa9pDNuuh7XezVAfs1iimyY&acatk=1jnhj0ceqjn1k805&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=ethIe0s0heeRmFSWLdJB3A%3D%3D&jrtk=5-cmh1-1-1jn479b8qmbr4801-16828c615693c075&xkcb=SoAS6_M3kkGqSrWkJp0fbzkdCdPP&xpse=SoDf6_I3kxuOVYR7oJ0MbzkdCdPP&xfps=4e3f3295-7113-4a38-bd48-097fe6d28a98,https://ca.indeed.com/viewjob?jk=16828c615693c075,2026-05-01,saved
